Z/Zo & log(n_Hcm-3) & log(U) & SIII19_SIII33 & OIII52_OIII88 & NII122_NII205 & SIV11_NeII16 & NeII13_NeIII16 & OIII52_NIII57 & OIII88_NIII57 & OIII52_NII122 & OIII52_NII205 & OIII88_NII122 & OIII88_NII205 
0.20 & 5 & --3.0 & 1.03 & 1.00 & 0.99 & --1.54 & --0.31 & 1.72 & 0.73 & 2.82 & 3.81 & 1.82 & 2.81 \\
0.20 & 5 & --2.5 & 1.03 & 1.00 & 0.97 & --0.96 & --0.81 & 1.79 & 0.79 & 3.16 & 4.13 & 2.16 & 3.13 \\
0.20 & 5 & --2.0 & 1.03 & 1.00 & 0.96 & --0.51 & --1.29 & 1.83 & 0.83 & 3.09 & 4.05 & 2.09 & 3.05 \\
0.20 & 6 & --4.0 & 1.07 & 1.01 & 0.99 & --3.27 & 0.94 & 1.61 & 0.60 & 0.97 & 1.96 & --0.04 & 0.95 \\
0.20 & 6 & --3.5 & 1.08 & 1.01 & 0.99 & --2.46 & 0.46 & 1.64 & 0.63 & 1.92 & 2.92 & 0.91 & 1.90 \\
0.20 & 6 & --3.0 & 1.08 & 1.01 & 0.99 & --1.76 & --0.05 & 1.73 & 0.71 & 2.38 & 3.37 & 1.37 & 2.36 \\
0.20 & 6 & --2.5 & 1.08 & 1.01 & 0.98 & --1.17 & --0.56 & 1.79 & 0.78 & 2.53 & 3.52 & 1.52 & 2.51 \\
0.20 & 6 & --2.0 & 1.08 & 1.01 & 0.99 & --0.72 & --1.05 & 1.84 & 0.83 & 2.62 & 3.60 & 1.60 & 2.59 \\
0.40 & 1 & --4.0 & --0.37 & --0.23 & --0.04 & --2.49 & 0.58 & 0.67 & 0.90 & --0.38 & --0.42 & --0.15 & --0.19 \\
0.40 & 1 & --3.5 & --0.37 & --0.23 & --0.03 & --1.73 & 0.11 & 0.70 & 0.93 & 0.54 & 0.51 & 0.77 & 0.74 \\
0.40 & 1 & --3.0 & --0.37 & --0.23 & --0.03 & --1.08 & --0.37 & 0.76 & 1.00 & 1.38 & 1.35 & 1.61 & 1.58 \\
0.40 & 1 & --2.5 & --0.37 & --0.23 & --0.04 & --0.52 & --0.84 & 0.82 & 1.05 & 2.04 & 2.00 & 2.27 & 2.23 \\
0.40 & 1 & --2.0 & --0.37 & --0.22 & --0.03 & --0.07 & --1.28 & 0.86 & 1.08 & 2.55 & 2.52 & 2.77 & 2.74 \\
0.40 & 2 & --4.0 & --0.30 & --0.09 & 0.44 & --2.48 & 0.58 & 0.76 & 0.85 & --0.22 & 0.22 & --0.13 & 0.31 \\
0.40 & 2 & --3.5 & --0.29 & --0.09 & 0.45 & --1.72 & 0.11 & 0.79 & 0.88 & 0.71 & 1.16 & 0.80 & 1.25 \\
0.40 & 2 & --3.0 & --0.29 & --0.08 & 0.45 & --1.07 & --0.37 & 0.86 & 0.94 & 1.55 & 1.99 & 1.63 & 2.08 \\
0.40 & 2 & --2.5 & --0.29 & --0.07 & 0.44 & --0.52 & --0.84 & 0.92 & 0.99 & 2.20 & 2.64 & 2.27 & 2.70 \\
0.40 & 2 & --2.0 & --0.28 & --0.02 & 0.45 & --0.07 & --1.28 & 0.96 & 0.99 & 2.72 & 3.17 & 2.74 & 3.19 \\
0.40 & 3 & --4.0 & 0.09 & 0.41 & 0.87 & --2.49 & 0.59 & 1.06 & 0.65 & 0.34 & 1.20 & --0.07 & 0.79 \\
0.40 & 3 & --3.5 & 0.10 & 0.42 & 0.87 & --1.73 & 0.12 & 1.10 & 0.68 & 1.28 & 2.15 & 0.86 & 1.73 \\
0.40 & 3 & --3.0 & 0.10 & 0.42 & 0.87 & --1.08 & --0.37 & 1.16 & 0.74 & 2.10 & 2.97 & 1.68 & 2.55 \\
0.40 & 3 & --2.5 & 0.10 & 0.43 & 0.86 & --0.52 & --0.84 & 1.22 & 0.78 & 2.74 & 3.60 & 2.31 & 3.17 \\
0.40 & 3 & --2.0 & 0.12 & 0.46 & 0.86 & --0.08 & --1.29 & 1.25 & 0.79 & 3.24 & 4.10 & 2.77 & 3.64 \\
0.40 & 4 & --4.0 & 0.72 & 0.88 & 0.98 & --2.61 & 0.62 & 1.27 & 0.39 & 0.63 & 1.60 & --0.25 & 0.73 \\
0.40 & 4 & --3.5 & 0.73 & 0.88 & 0.98 & --1.86 & 0.15 & 1.30 & 0.42 & 1.57 & 2.55 & 0.69 & 1.67 \\
0.40 & 4 & --3.0 & 0.73 & 0.88 & 0.98 & --1.21 & --0.34 & 1.38 & 0.49 & 2.40 & 3.38 & 1.52 & 2.50 \\
0.40 & 4 & --2.5 & 0.73 & 0.88 & 0.97 & --0.65 & --0.82 & 1.43 & 0.55 & 3.03 & 4.00 & 2.15 & 3.12 \\
0.40 & 4 & --2.0 & 0.75 & 0.88 & 0.95 & --0.22 & --1.26 & 1.46 & 0.58 & 3.42 & 4.38 & 2.54 & 3.50 \\
0.40 & 5 & --4.0 & 1.02 & 1.00 & 0.99 & --3.02 & 0.77 & 1.30 & 0.31 & 0.64 & 1.64 & --0.35 & 0.64 \\
0.40 & 5 & --3.5 & 1.03 & 1.00 & 0.99 & --2.25 & 0.30 & 1.33 & 0.34 & 1.60 & 2.59 & 0.60 & 1.59 \\
0.40 & 5 & --3.0 & 1.03 & 1.00 & 0.98 & --1.60 & --0.19 & 1.41 & 0.42 & 2.36 & 3.35 & 1.37 & 2.35 \\
0.40 & 5 & --2.5 & 1.03 & 1.00 & 0.97 & --1.05 & --0.67 & 1.47 & 0.48 & 2.66 & 3.62 & 1.66 & 2.63 \\
0.40 & 5 & --2.0 & 1.03 & 1.00 & 0.96 & --0.61 & --1.10 & 1.51 & 0.51 & 2.75 & 3.71 & 1.75 & 2.72 \\
0.40 & 6 & --4.0 & 1.07 & 1.01 & 0.99 & --3.28 & 1.04 & 1.30 & 0.29 & 0.62 & 1.61 & --0.39 & 0.60 \\
0.40 & 6 & --3.5 & 1.07 & 1.01 & 0.99 & --2.48 & 0.56 & 1.33 & 0.32 & 1.47 & 2.46 & 0.46 & 1.45 \\
0.40 & 6 & --3.0 & 1.08 & 1.01 & 0.99 & --1.82 & 0.06 & 1.41 & 0.40 & 2.03 & 3.02 & 1.02 & 2.01 \\
0.40 & 6 & --2.5 & 1.08 & 1.01 & 0.99 & --1.26 & --0.42 & 1.48 & 0.47 & 2.33 & 3.32 & 1.32 & 2.31 \\
0.40 & 6 & --2.0 & 1.08 & 1.01 & 0.99 & --0.81 & --0.87 & 1.52 & 0.50 & 2.56 & 3.55 & 1.55 & 2.54 \\
1.00 & 1 & --4.0 & --0.40 & --0.24 & --0.02 & --2.42 & 1.11 & 0.05 & 0.29 & --1.31 & --1.33 & --1.07 & --1.09 \\
1.00 & 1 & --3.5 & --0.40 & --0.24 & --0.01 & --1.71 & 0.67 & 0.07 & 0.30 & --0.41 & --0.42 & --0.17 & --0.18 \\
1.00 & 1 & --3.0 & --0.40 & --0.24 & --0.01 & --1.14 & 0.23 & 0.12 & 0.35 & 0.41 & 0.41 & 0.65 & 0.64 \\
1.00 & 1 & --2.5 & --0.41 & --0.23 & --0.01 & --0.71 & --0.18 & 0.19 & 0.43 & 1.07 & 1.06 & 1.30 & 1.30 \\
1.00 & 1 & --2.0 & --0.41 & --0.21 & 0.02 & --0.36 & --0.53 & 0.25 & 0.46 & 1.52 & 1.55 & 1.73 & 1.76 \\
1.00 & 2 & --4.0 & --0.31 & --0.08 & 0.47 & --2.41 & 1.11 & 0.14 & 0.23 & --1.12 & --0.65 & --1.04 & --0.57 \\
1.00 & 2 & --3.5 & --0.30 & --0.07 & 0.49 & --1.70 & 0.67 & 0.17 & 0.24 & --0.21 & 0.28 & --0.14 & 0.35 \\
1.00 & 2 & --3.0 & --0.30 & --0.06 & 0.49 & --1.13 & 0.23 & 0.22 & 0.29 & 0.62 & 1.11 & 0.69 & 1.17 \\
1.00 & 2 & --2.5 & --0.30 & --0.03 & 0.49 & --0.70 & --0.18 & 0.31 & 0.34 & 1.28 & 1.77 & 1.32 & 1.80 \\
1.00 & 2 & --2.0 & --0.28 & 0.04 & 0.53 & --0.34 & --0.55 & 0.38 & 0.34 & 1.78 & 2.31 & 1.74 & 2.27 \\
1.00 & 3 & --4.0 & 0.11 & 0.44 & 0.88 & --2.41 & 1.11 & 0.44 & 0.00 & --0.55 & 0.33 & --0.99 & --0.11 \\
1.00 & 3 & --3.5 & 0.13 & 0.45 & 0.89 & --1.70 & 0.67 & 0.47 & 0.01 & 0.37 & 1.26 & --0.08 & 0.81 \\
1.00 & 3 & --3.0 & 0.14 & 0.46 & 0.89 & --1.14 & 0.23 & 0.52 & 0.06 & 1.20 & 2.10 & 0.74 & 1.63 \\
1.00 & 3 & --2.5 & 0.15 & 0.48 & 0.89 & --0.70 & --0.20 & 0.60 & 0.12 & 1.86 & 2.75 & 1.38 & 2.27 \\
1.00 & 3 & --2.0 & 0.20 & 0.52 & 0.90 & --0.34 & --0.57 & 0.65 & 0.13 & 2.35 & 3.25 & 1.83 & 2.73 \\
1.00 & 4 & --4.0 & 0.74 & 0.89 & 0.98 & --2.55 & 1.14 & 0.62 & --0.26 & --0.26 & 0.72 & --1.15 & --0.17 \\
1.00 & 4 & --3.5 & 0.76 & 0.89 & 0.98 & --1.84 & 0.70 & 0.65 & --0.25 & 0.66 & 1.64 & --0.24 & 0.75 \\
1.00 & 4 & --3.0 & 0.76 & 0.89 & 0.98 & --1.28 & 0.25 & 0.71 & --0.19 & 1.50 & 2.48 & 0.61 & 1.59 \\
1.00 & 4 & --2.5 & 0.77 & 0.89 & 0.98 & --0.84 & --0.18 & 0.79 & --0.11 & 2.16 & 3.13 & 1.26 & 2.24 \\
1.00 & 4 & --2.0 & 0.80 & 0.89 & 0.97 & --0.49 & --0.56 & 0.83 & --0.07 & 2.57 & 3.53 & 1.67 & 2.64 \\
1.00 & 5 & --4.0 & 1.02 & 1.00 & 0.99 & --2.94 & 1.28 & 0.63 & --0.37 & --0.22 & 0.77 & --1.22 & --0.22 \\
1.00 & 5 & --3.5 & 1.03 & 1.00 & 0.99 & --2.24 & 0.84 & 0.66 & --0.34 & 0.71 & 1.70 & --0.29 & 0.70 \\
1.00 & 5 & --3.0 & 1.03 & 1.00 & 0.99 & --1.68 & 0.39 & 0.73 & --0.26 & 1.50 & 2.48 & 0.50 & 1.49 \\
1.00 & 5 & --2.5 & 1.03 & 0.99 & 0.98 & --1.24 & --0.04 & 0.82 & --0.17 & 1.99 & 2.97 & 0.99 & 1.97 \\
1.00 & 5 & --2.0 & 1.03 & 0.99 & 0.98 & --0.88 & --0.41 & 0.87 & --0.12 & 2.28 & 3.26 & 1.29 & 2.27 \\
1.00 & 6 & --4.0 & 1.07 & 1.01 & 0.99 & --3.17 & 1.52 & 0.61 & --0.40 & --0.24 & 0.75 & --1.25 & --0.26 \\
1.00 & 6 & --3.5 & 1.07 & 1.01 & 0.99 & --2.45 & 1.07 & 0.64 & --0.37 & 0.38 & 1.37 & --0.63 & 0.36 \\
1.00 & 6 & --3.0 & 1.07 & 1.01 & 0.99 & --1.89 & 0.61 & 0.73 & --0.28 & 1.00 & 1.99 & --0.01 & 0.98 \\
1.00 & 6 & --2.5 & 1.07 & 1.01 & 0.99 & --1.45 & 0.18 & 0.83 & --0.18 & 1.52 & 2.51 & 0.51 & 1.50 \\
1.00 & 6 & --2.0 & 1.07 & 1.01 & 0.99 & --1.06 & --0.21 & 0.88 & --0.13 & 1.89 & 2.88 & 0.89 & 1.88 \\
2.00 & 1 & --4.0 & --0.42 & --0.25 & 0.01 & --2.45 & 1.73 & --0.42 & --0.17 & --2.24 & --2.23 & --1.99 & --1.98 \\
2.00 & 1 & --3.5 & --0.41 & --0.24 & 0.03 & --1.74 & 1.36 & --0.42 & --0.18 & --1.42 & --1.39 & --1.17 & --1.15 \\
2.00 & 1 & --3.0 & --0.41 & --0.24 & 0.04 & --1.18 & 1.00 & --0.43 & --0.19 & --0.69 & --0.65 & --0.44 & --0.40 \\
2.00 & 1 & --2.5 & --0.42 & --0.25 & 0.05 & --0.83 & 0.69 & --0.40 & --0.15 & --0.15 & --0.10 & 0.10 & 0.15 \\
2.00 & 1 & --2.0 & --0.43 & --0.23 & 0.11 & --0.62 & 0.47 & --0.33 & --0.10 & 0.17 & 0.28 & 0.40 & 0.51 \\
2.00 & 2 & --4.0 & --0.33 & --0.07 & 0.51 & --2.43 & 1.72 & --0.32 & --0.26 & --2.01 & --1.50 & --1.94 & --1.44 \\
2.00 & 2 & --3.5 & --0.32 & --0.05 & 0.53 & --1.71 & 1.35 & --0.32 & --0.27 & --1.16 & --0.63 & --1.11 & --0.58 \\
2.00 & 2 & --3.0 & --0.30 & --0.04 & 0.54 & --1.16 & 0.98 & --0.32 & --0.28 & --0.41 & 0.13 & --0.37 & 0.17 \\
2.00 & 2 & --2.5 & --0.30 & --0.02 & 0.53 & --0.81 & 0.64 & --0.26 & --0.25 & 0.16 & 0.69 & 0.18 & 0.71 \\
2.00 & 2 & --2.0 & --0.27 & 0.06 & 0.59 & --0.57 & 0.37 & --0.16 & --0.22 & 0.57 & 1.16 & 0.51 & 1.10 \\
2.00 & 3 & --4.0 & 0.15 & 0.47 & 0.89 & --2.43 & 1.72 & --0.03 & --0.51 & --1.43 & --0.53 & --1.90 & --1.01 \\
2.00 & 3 & --3.5 & 0.18 & 0.49 & 0.90 & --1.71 & 1.34 & --0.03 & --0.53 & --0.57 & 0.33 & --1.06 & --0.16 \\
2.00 & 3 & --3.0 & 0.19 & 0.50 & 0.91 & --1.16 & 0.96 & --0.03 & --0.53 & 0.20 & 1.11 & --0.30 & 0.60 \\
2.00 & 3 & --2.5 & 0.21 & 0.52 & 0.91 & --0.78 & 0.59 & 0.04 & --0.48 & 0.82 & 1.73 & 0.31 & 1.22 \\
2.00 & 3 & --2.0 & 0.27 & 0.56 & 0.92 & --0.52 & 0.26 & 0.13 & --0.42 & 1.29 & 2.21 & 0.74 & 1.66 \\
2.00 & 4 & --4.0 & 0.76 & 0.90 & 0.98 & --2.57 & 1.75 & 0.13 & --0.76 & --1.16 & --0.18 & --2.05 & --1.07 \\
2.00 & 4 & --3.5 & 0.79 & 0.90 & 0.98 & --1.86 & 1.37 & 0.13 & --0.78 & --0.30 & 0.68 & --1.20 & --0.22 \\
2.00 & 4 & --3.0 & 0.80 & 0.91 & 0.98 & --1.31 & 0.98 & 0.13 & --0.77 & 0.48 & 1.47 & --0.42 & 0.56 \\
2.00 & 4 & --2.5 & 0.81 & 0.90 & 0.98 & --0.94 & 0.59 & 0.21 & --0.70 & 1.13 & 2.12 & 0.23 & 1.21 \\
2.00 & 4 & --2.0 & 0.84 & 0.90 & 0.98 & --0.67 & 0.25 & 0.29 & --0.62 & 1.59 & 2.57 & 0.69 & 1.67 \\
2.00 & 5 & --4.0 & 1.01 & 0.99 & 0.99 & --2.96 & 1.89 & 0.12 & --0.87 & --1.12 & --0.13 & --2.11 & --1.12 \\
2.00 & 5 & --3.5 & 1.02 & 0.99 & 0.99 & --2.25 & 1.51 & 0.12 & --0.87 & --0.26 & 0.73 & --1.26 & --0.27 \\
2.00 & 5 & --3.0 & 1.02 & 0.99 & 0.99 & --1.71 & 1.13 & 0.15 & --0.85 & 0.48 & 1.47 & --0.51 & 0.47 \\
2.00 & 5 & --2.5 & 1.03 & 0.99 & 0.99 & --1.33 & 0.74 & 0.24 & --0.76 & 1.02 & 2.00 & 0.02 & 1.01 \\
2.00 & 5 & --2.0 & 1.03 & 0.99 & 0.98 & --1.06 & 0.40 & 0.32 & --0.67 & 1.36 & 2.34 & 0.37 & 1.35 \\
2.00 & 6 & --4.0 & 1.06 & 1.01 & 0.99 & --3.15 & 2.11 & 0.06 & --0.95 & --1.26 & --0.27 & --2.27 & --1.27 \\
2.00 & 6 & --3.5 & 1.07 & 1.01 & 0.99 & --2.44 & 1.72 & 0.08 & --0.93 & --0.66 & 0.33 & --1.67 & --0.68 \\
2.00 & 6 & --3.0 & 1.07 & 1.01 & 0.99 & --1.91 & 1.33 & 0.13 & --0.88 & 0.06 & 1.05 & --0.95 & 0.04 \\
2.00 & 6 & --2.5 & 1.07 & 1.01 & 0.99 & --1.53 & 0.95 & 0.24 & --0.77 & 0.71 & 1.70 & --0.30 & 0.69 \\
2.00 & 6 & --2.0 & 1.07 & 1.01 & 0.99 & --1.24 & 0.59 & 0.33 & --0.68 & 1.19 & 2.18 & 0.18 & 1.17 \\
