Z/Zo & log(n_Hcm-3) & log(U) & SIII19_SIII33 & OIII52_OIII88 & NII122_NII205 & SIV11_NeII16 & NeII13_NeIII16 & OIII52_NIII57 & OIII88_NIII57 & OIII52_NII122 & OIII52_NII205 & OIII88_NII122 & OIII88_NII205 
0.05 & 5 & --1.8 & 0.76 & 1.00 & 0.98 & --0.66 & 0.98 & 2.05 & 1.05 & 1.54 & 2.52 & 0.54 & 1.52 \\
0.05 & 5 & --1.6 & 0.77 & 0.99 & 0.98 & --0.70 & 0.97 & 2.17 & 1.18 & 1.58 & 2.57 & 0.59 & 1.57 \\
0.05 & 6 & --3.0 & 0.96 & 1.01 & 0.99 & --1.82 & 1.38 & 1.80 & 0.78 & 1.19 & 2.18 & 0.17 & 1.16 \\
0.05 & 6 & --2.8 & 0.97 & 1.01 & 0.99 & --1.60 & 1.35 & 1.80 & 0.78 & 1.20 & 2.19 & 0.19 & 1.18 \\
0.05 & 6 & --2.6 & 0.97 & 1.01 & 0.99 & --1.43 & 1.33 & 1.80 & 0.79 & 1.20 & 2.19 & 0.19 & 1.18 \\
0.05 & 6 & --2.4 & 0.97 & 1.01 & 0.99 & --1.31 & 1.30 & 1.83 & 0.81 & 1.20 & 2.19 & 0.18 & 1.17 \\
0.05 & 6 & --2.2 & 0.97 & 1.01 & 0.99 & --1.24 & 1.26 & 1.87 & 0.86 & 1.20 & 2.19 & 0.18 & 1.17 \\
0.05 & 6 & --2.0 & 0.98 & 1.02 & 0.99 & --1.23 & 1.22 & 1.95 & 0.93 & 1.22 & 2.21 & 0.20 & 1.19 \\
0.05 & 6 & --1.8 & 0.98 & 1.02 & 0.99 & --1.25 & 1.17 & 2.05 & 1.03 & 1.26 & 2.25 & 0.24 & 1.23 \\
0.05 & 6 & --1.6 & 0.99 & 1.02 & 0.99 & --1.25 & 1.12 & 2.16 & 1.14 & 1.31 & 2.30 & 0.29 & 1.28 \\
0.20 & 1 & --3.0 & --0.37 & --0.23 & --0.05 & --0.48 & --0.21 & 1.12 & 1.35 & 1.90 & 1.85 & 2.12 & 2.07 \\
0.20 & 1 & --2.8 & --0.36 & --0.23 & --0.05 & --0.24 & --0.22 & 1.12 & 1.34 & 2.05 & 2.01 & 2.28 & 2.23 \\
0.20 & 1 & --2.6 & --0.36 & --0.22 & --0.05 & --0.04 & --0.22 & 1.12 & 1.34 & 2.18 & 2.13 & 2.41 & 2.36 \\
0.20 & 1 & --2.4 & --0.36 & --0.22 & --0.05 & 0.11 & --0.21 & 1.14 & 1.36 & 2.28 & 2.23 & 2.51 & 2.46 \\
0.20 & 1 & --2.2 & --0.36 & --0.22 & --0.05 & 0.20 & --0.21 & 1.17 & 1.39 & 2.37 & 2.32 & 2.59 & 2.54 \\
0.20 & 1 & --2.0 & --0.36 & --0.22 & --0.05 & 0.23 & --0.22 & 1.21 & 1.43 & 2.44 & 2.39 & 2.65 & 2.60 \\
0.20 & 1 & --1.8 & --0.36 & --0.21 & --0.05 & 0.22 & --0.23 & 1.27 & 1.48 & 2.50 & 2.45 & 2.71 & 2.66 \\
0.20 & 1 & --1.6 & --0.37 & --0.20 & --0.04 & 0.19 & --0.25 & 1.33 & 1.54 & 2.54 & 2.50 & 2.74 & 2.70 \\
0.20 & 2 & --3.0 & --0.33 & --0.09 & 0.34 & --0.48 & --0.16 & 1.21 & 1.30 & 2.03 & 2.37 & 2.12 & 2.46 \\
0.20 & 2 & --2.8 & --0.32 & --0.09 & 0.33 & --0.24 & --0.17 & 1.21 & 1.30 & 2.18 & 2.51 & 2.26 & 2.59 \\
0.20 & 2 & --2.6 & --0.32 & --0.08 & 0.31 & --0.04 & --0.16 & 1.22 & 1.30 & 2.29 & 2.60 & 2.37 & 2.68 \\
0.20 & 2 & --2.4 & --0.32 & --0.07 & 0.29 & 0.10 & --0.16 & 1.24 & 1.31 & 2.38 & 2.67 & 2.45 & 2.74 \\
0.20 & 2 & --2.2 & --0.32 & --0.06 & 0.28 & 0.19 & --0.15 & 1.27 & 1.33 & 2.43 & 2.71 & 2.49 & 2.77 \\
0.20 & 2 & --2.0 & --0.31 & --0.04 & 0.28 & 0.22 & --0.16 & 1.32 & 1.37 & 2.47 & 2.75 & 2.51 & 2.79 \\
0.20 & 2 & --1.8 & --0.31 & --0.02 & 0.29 & 0.21 & --0.17 & 1.39 & 1.41 & 2.50 & 2.79 & 2.52 & 2.81 \\
0.20 & 2 & --1.6 & --0.30 & 0.01 & 0.31 & 0.18 & --0.18 & 1.47 & 1.46 & 2.52 & 2.83 & 2.51 & 2.82 \\
0.20 & 3 & --3.0 & --0.10 & 0.40 & 0.72 & --0.50 & --0.07 & 1.52 & 1.12 & 2.37 & 3.09 & 1.96 & 2.69 \\
0.20 & 3 & --2.8 & --0.09 & 0.41 & 0.71 & --0.26 & --0.07 & 1.52 & 1.11 & 2.45 & 3.16 & 2.04 & 2.75 \\
0.20 & 3 & --2.6 & --0.09 & 0.41 & 0.71 & --0.06 & --0.05 & 1.53 & 1.11 & 2.48 & 3.18 & 2.06 & 2.77 \\
0.20 & 3 & --2.4 & --0.08 & 0.42 & 0.71 & 0.08 & --0.03 & 1.55 & 1.12 & 2.47 & 3.18 & 2.05 & 2.76 \\
0.20 & 3 & --2.2 & --0.07 & 0.43 & 0.71 & 0.16 & --0.02 & 1.58 & 1.15 & 2.46 & 3.17 & 2.02 & 2.73 \\
0.20 & 3 & --2.0 & --0.06 & 0.45 & 0.73 & 0.18 & --0.00 & 1.64 & 1.19 & 2.44 & 3.16 & 1.99 & 2.71 \\
0.20 & 3 & --1.8 & --0.05 & 0.47 & 0.74 & 0.16 & 0.01 & 1.71 & 1.23 & 2.43 & 3.17 & 1.95 & 2.70 \\
0.20 & 3 & --1.6 & --0.02 & 0.50 & 0.77 & 0.12 & 0.02 & 1.79 & 1.29 & 2.42 & 3.19 & 1.92 & 2.69 \\
0.20 & 4 & --3.0 & 0.30 & 0.88 & 0.93 & --0.65 & 0.25 & 1.75 & 0.87 & 2.22 & 3.15 & 1.34 & 2.27 \\
0.20 & 4 & --2.8 & 0.32 & 0.88 & 0.93 & --0.41 & 0.28 & 1.75 & 0.87 & 2.23 & 3.16 & 1.35 & 2.28 \\
0.20 & 4 & --2.6 & 0.34 & 0.88 & 0.93 & --0.23 & 0.32 & 1.76 & 0.88 & 2.22 & 3.15 & 1.34 & 2.27 \\
0.20 & 4 & --2.4 & 0.36 & 0.88 & 0.93 & --0.10 & 0.35 & 1.77 & 0.89 & 2.21 & 3.14 & 1.33 & 2.26 \\
0.20 & 4 & --2.2 & 0.39 & 0.88 & 0.94 & --0.03 & 0.37 & 1.81 & 0.92 & 2.20 & 3.14 & 1.32 & 2.26 \\
0.20 & 4 & --2.0 & 0.41 & 0.89 & 0.94 & --0.02 & 0.37 & 1.86 & 0.97 & 2.21 & 3.15 & 1.32 & 2.27 \\
0.20 & 4 & --1.8 & 0.44 & 0.89 & 0.95 & --0.06 & 0.51 & 1.92 & 1.03 & 2.23 & 3.18 & 1.33 & 2.28 \\
0.20 & 4 & --1.6 & 0.49 & 0.90 & 0.96 & --0.12 & 0.54 & 1.99 & 1.10 & 2.26 & 3.21 & 1.36 & 2.32 \\
0.20 & 5 & --3.0 & 0.75 & 1.00 & 0.98 & --1.14 & 0.74 & 1.79 & 0.80 & 1.85 & 2.84 & 0.86 & 1.84 \\
0.20 & 5 & --2.8 & 0.77 & 1.00 & 0.98 & --0.90 & 0.74 & 1.79 & 0.79 & 1.89 & 2.87 & 0.89 & 1.87 \\
0.20 & 5 & --2.6 & 0.80 & 1.00 & 0.98 & --0.71 & 0.73 & 1.80 & 0.80 & 1.91 & 2.90 & 0.91 & 1.90 \\
0.20 & 5 & --2.4 & 0.82 & 1.00 & 0.99 & --0.59 & 0.78 & 1.82 & 0.82 & 1.94 & 2.92 & 0.94 & 1.92 \\
0.20 & 5 & --2.2 & 0.84 & 1.00 & 0.99 & --0.52 & 0.78 & 1.85 & 0.85 & 1.97 & 2.96 & 0.97 & 1.96 \\
0.20 & 5 & --2.0 & 0.82 & 1.00 & 0.99 & --0.56 & 1.12 & 1.90 & 0.90 & 2.01 & 3.00 & 1.01 & 2.00 \\
0.20 & 5 & --1.8 & 0.82 & 1.00 & 0.99 & --0.60 & 1.05 & 1.97 & 0.97 & 2.06 & 3.05 & 1.06 & 2.05 \\
0.20 & 5 & --1.6 & 0.84 & 1.00 & 0.99 & --0.67 & 1.00 & 2.04 & 1.04 & 2.13 & 3.11 & 1.12 & 2.11 \\
0.20 & 6 & --3.0 & 0.98 & 1.01 & 0.99 & --1.71 & 1.34 & 1.80 & 0.79 & 1.66 & 2.65 & 0.64 & 1.63 \\
0.20 & 6 & --2.8 & 0.99 & 1.01 & 0.99 & --1.47 & 1.29 & 1.80 & 0.78 & 1.71 & 2.70 & 0.70 & 1.69 \\
0.20 & 6 & --2.6 & 0.99 & 1.01 & 0.99 & --1.30 & 1.25 & 1.80 & 0.79 & 1.76 & 2.75 & 0.74 & 1.73 \\
0.20 & 6 & --2.4 & 0.99 & 1.01 & 0.99 & --1.17 & 1.20 & 1.82 & 0.81 & 1.80 & 2.80 & 0.79 & 1.78 \\
0.20 & 6 & --2.2 & 0.99 & 1.01 & 0.99 & --1.09 & 1.15 & 1.86 & 0.85 & 1.86 & 2.86 & 0.85 & 1.84 \\
0.20 & 6 & --2.0 & 1.00 & 1.01 & 0.99 & --1.07 & 1.09 & 1.91 & 0.90 & 1.93 & 2.92 & 0.92 & 1.91 \\
0.20 & 6 & --1.8 & 1.00 & 1.02 & 0.99 & --1.09 & 1.03 & 1.98 & 0.96 & 2.01 & 3.00 & 0.99 & 1.99 \\
0.20 & 6 & --1.6 & 1.01 & 1.02 & 0.99 & --1.13 & 0.98 & 2.05 & 1.03 & 2.08 & 3.08 & 1.07 & 2.06 \\
0.40 & 1 & --3.0 & --0.37 & --0.23 & --0.04 & --0.48 & --0.42 & 0.82 & 1.05 & 1.60 & 1.55 & 1.82 & 1.78 \\
0.40 & 1 & --2.8 & --0.36 & --0.23 & --0.04 & --0.24 & --0.44 & 0.82 & 1.05 & 1.76 & 1.72 & 1.99 & 1.95 \\
0.40 & 1 & --2.6 & --0.36 & --0.22 & --0.04 & --0.04 & --0.44 & 0.82 & 1.05 & 1.89 & 1.86 & 2.12 & 2.08 \\
0.40 & 1 & --2.4 & --0.36 & --0.22 & --0.04 & 0.11 & --0.43 & 0.84 & 1.06 & 2.00 & 1.96 & 2.22 & 2.18 \\
0.40 & 1 & --2.2 & --0.36 & --0.22 & --0.04 & 0.21 & --0.42 & 0.86 & 1.08 & 2.09 & 2.05 & 2.30 & 2.27 \\
0.40 & 1 & --2.0 & --0.36 & --0.21 & --0.03 & 0.25 & --0.41 & 0.90 & 1.11 & 2.15 & 2.12 & 2.36 & 2.33 \\
0.40 & 1 & --1.8 & --0.36 & --0.20 & --0.03 & 0.24 & --0.40 & 0.94 & 1.14 & 2.19 & 2.17 & 2.39 & 2.37 \\
0.40 & 1 & --1.6 & --0.36 & --0.20 & --0.01 & 0.22 & --0.40 & 0.98 & 1.18 & 2.21 & 2.20 & 2.41 & 2.39 \\
0.40 & 2 & --3.0 & --0.32 & --0.08 & 0.37 & --0.49 & --0.36 & 0.92 & 1.00 & 1.74 & 2.11 & 1.82 & 2.19 \\
0.40 & 2 & --2.8 & --0.31 & --0.07 & 0.36 & --0.24 & --0.37 & 0.92 & 0.99 & 1.90 & 2.26 & 1.97 & 2.33 \\
0.40 & 2 & --2.6 & --0.31 & --0.06 & 0.35 & --0.05 & --0.36 & 0.93 & 0.99 & 2.02 & 2.38 & 2.09 & 2.44 \\
0.40 & 2 & --2.4 & --0.31 & --0.05 & 0.34 & 0.10 & --0.35 & 0.94 & 0.99 & 2.12 & 2.46 & 2.17 & 2.51 \\
0.40 & 2 & --2.2 & --0.31 & --0.03 & 0.33 & 0.20 & --0.34 & 0.97 & 1.01 & 2.19 & 2.52 & 2.22 & 2.55 \\
0.40 & 2 & --2.0 & --0.30 & --0.01 & 0.33 & 0.24 & --0.33 & 1.02 & 1.03 & 2.23 & 2.56 & 2.24 & 2.57 \\
0.40 & 2 & --1.8 & --0.30 & 0.02 & 0.35 & 0.23 & --0.32 & 1.07 & 1.05 & 2.26 & 2.61 & 2.24 & 2.59 \\
0.40 & 2 & --1.6 & --0.29 & 0.06 & 0.38 & 0.20 & --0.31 & 1.13 & 1.08 & 2.27 & 2.65 & 2.22 & 2.60 \\
0.40 & 3 & --3.0 & --0.06 & 0.42 & 0.77 & --0.50 & --0.25 & 1.23 & 0.81 & 2.13 & 2.90 & 1.71 & 2.48 \\
0.40 & 3 & --2.8 & --0.06 & 0.43 & 0.76 & --0.26 & --0.24 & 1.23 & 0.80 & 2.23 & 2.98 & 1.80 & 2.56 \\
0.40 & 3 & --2.6 & --0.05 & 0.44 & 0.75 & --0.07 & --0.22 & 1.24 & 0.80 & 2.28 & 3.03 & 1.84 & 2.59 \\
0.40 & 3 & --2.4 & --0.04 & 0.45 & 0.75 & 0.08 & --0.19 & 1.25 & 0.80 & 2.29 & 3.04 & 1.84 & 2.59 \\
0.40 & 3 & --2.2 & --0.03 & 0.47 & 0.75 & 0.17 & --0.15 & 1.28 & 0.81 & 2.29 & 3.05 & 1.83 & 2.58 \\
0.40 & 3 & --2.0 & --0.02 & 0.49 & 0.77 & 0.20 & --0.12 & 1.32 & 0.83 & 2.29 & 3.06 & 1.80 & 2.57 \\
0.40 & 3 & --1.8 & 0.00 & 0.52 & 0.79 & 0.19 & --0.08 & 1.38 & 0.86 & 2.29 & 3.08 & 1.77 & 2.56 \\
0.40 & 3 & --1.6 & 0.04 & 0.55 & 0.82 & 0.15 & --0.02 & 1.44 & 0.89 & 2.29 & 3.11 & 1.74 & 2.56 \\
0.40 & 4 & --3.0 & 0.35 & 0.88 & 0.94 & --0.66 & 0.11 & 1.45 & 0.57 & 2.06 & 3.00 & 1.18 & 2.12 \\
0.40 & 4 & --2.8 & 0.37 & 0.88 & 0.94 & --0.42 & 0.14 & 1.45 & 0.56 & 2.09 & 3.04 & 1.21 & 2.15 \\
0.40 & 4 & --2.6 & 0.40 & 0.89 & 0.94 & --0.24 & 0.15 & 1.45 & 0.56 & 2.10 & 3.05 & 1.21 & 2.16 \\
0.40 & 4 & --2.4 & 0.42 & 0.89 & 0.95 & --0.10 & 0.21 & 1.46 & 0.57 & 2.10 & 3.05 & 1.21 & 2.16 \\
0.40 & 4 & --2.2 & 0.45 & 0.89 & 0.95 & --0.02 & 0.25 & 1.49 & 0.59 & 2.11 & 3.06 & 1.22 & 2.17 \\
0.40 & 4 & --2.0 & 0.48 & 0.90 & 0.96 & --0.00 & 0.28 & 1.53 & 0.63 & 2.13 & 3.08 & 1.23 & 2.19 \\
0.40 & 4 & --1.8 & 0.52 & 0.91 & 0.96 & --0.03 & 0.32 & 1.57 & 0.67 & 2.16 & 3.12 & 1.25 & 2.21 \\
0.40 & 4 & --1.6 & 0.56 & 0.91 & 0.97 & --0.10 & 0.36 & 1.62 & 0.71 & 2.18 & 3.15 & 1.27 & 2.23 \\
0.40 & 5 & --3.0 & 0.78 & 1.00 & 0.99 & --1.13 & 0.58 & 1.49 & 0.49 & 1.77 & 2.75 & 0.77 & 1.75 \\
0.40 & 5 & --2.8 & 0.81 & 1.00 & 0.99 & --0.89 & 0.57 & 1.49 & 0.49 & 1.81 & 2.80 & 0.82 & 1.80 \\
0.40 & 5 & --2.6 & 0.84 & 1.00 & 0.99 & --0.70 & 0.56 & 1.49 & 0.49 & 1.85 & 2.84 & 0.85 & 1.84 \\
0.40 & 5 & --2.4 & 0.86 & 1.00 & 0.99 & --0.56 & 0.56 & 1.50 & 0.50 & 1.89 & 2.88 & 0.89 & 1.88 \\
0.40 & 5 & --2.2 & 0.88 & 1.00 & 0.99 & --0.48 & 0.57 & 1.53 & 0.53 & 1.94 & 2.93 & 0.94 & 1.93 \\
0.40 & 5 & --2.0 & 0.87 & 1.00 & 0.99 & --0.50 & 0.88 & 1.57 & 0.57 & 1.99 & 2.98 & 0.99 & 1.98 \\
0.40 & 5 & --1.8 & 0.88 & 1.00 & 0.99 & --0.54 & 0.85 & 1.62 & 0.62 & 2.05 & 3.04 & 1.05 & 2.04 \\
0.40 & 5 & --1.6 & 0.89 & 1.00 & 0.99 & --0.62 & 0.82 & 1.67 & 0.66 & 2.10 & 3.09 & 1.10 & 2.09 \\
0.40 & 6 & --3.0 & 1.00 & 1.01 & 0.99 & --1.60 & 1.12 & 1.49 & 0.48 & 1.63 & 2.62 & 0.62 & 1.61 \\
0.40 & 6 & --2.8 & 1.01 & 1.01 & 0.99 & --1.36 & 1.10 & 1.49 & 0.48 & 1.70 & 2.70 & 0.69 & 1.68 \\
0.40 & 6 & --2.6 & 1.01 & 1.01 & 0.99 & --1.18 & 1.06 & 1.50 & 0.48 & 1.77 & 2.76 & 0.75 & 1.75 \\
0.40 & 6 & --2.4 & 1.01 & 1.01 & 0.99 & --1.04 & 1.03 & 1.51 & 0.50 & 1.83 & 2.82 & 0.82 & 1.81 \\
0.40 & 6 & --2.2 & 1.01 & 1.01 & 0.99 & --0.97 & 0.98 & 1.54 & 0.53 & 1.90 & 2.90 & 0.89 & 1.88 \\
0.40 & 6 & --2.0 & 1.01 & 1.01 & 0.99 & --0.95 & 0.94 & 1.59 & 0.57 & 1.98 & 2.97 & 0.96 & 1.95 \\
0.40 & 6 & --1.8 & 1.02 & 1.01 & 0.99 & --0.97 & 0.89 & 1.64 & 0.62 & 2.05 & 3.04 & 1.03 & 2.03 \\
0.40 & 6 & --1.6 & 1.02 & 1.01 & 0.99 & --1.03 & 0.85 & 1.68 & 0.67 & 2.11 & 3.10 & 1.09 & 2.09 \\
1.00 & 1 & --3.0 & --0.38 & --0.23 & --0.03 & --0.51 & --0.67 & 0.27 & 0.50 & 0.98 & 0.95 & 1.21 & 1.18 \\
1.00 & 1 & --2.8 & --0.38 & --0.23 & --0.02 & --0.26 & --0.71 & 0.26 & 0.49 & 1.16 & 1.13 & 1.38 & 1.36 \\
1.00 & 1 & --2.6 & --0.37 & --0.22 & --0.02 & --0.07 & --0.72 & 0.26 & 0.48 & 1.30 & 1.28 & 1.52 & 1.51 \\
1.00 & 1 & --2.4 & --0.37 & --0.21 & --0.01 & 0.09 & --0.71 & 0.27 & 0.48 & 1.42 & 1.41 & 1.63 & 1.62 \\
1.00 & 1 & --2.2 & --0.37 & --0.21 & --0.00 & 0.19 & --0.69 & 0.29 & 0.49 & 1.51 & 1.51 & 1.72 & 1.71 \\
1.00 & 1 & --2.0 & --0.37 & --0.20 & 0.01 & 0.25 & --0.67 & 0.31 & 0.51 & 1.58 & 1.59 & 1.78 & 1.78 \\
1.00 & 1 & --1.8 & --0.37 & --0.18 & 0.02 & 0.26 & --0.65 & 0.34 & 0.52 & 1.62 & 1.65 & 1.81 & 1.83 \\
1.00 & 1 & --1.6 & --0.37 & --0.17 & 0.05 & 0.25 & --0.62 & 0.37 & 0.54 & 1.64 & 1.69 & 1.81 & 1.86 \\
1.00 & 2 & --3.0 & --0.31 & --0.06 & 0.41 & --0.51 & --0.59 & 0.38 & 0.43 & 1.15 & 1.56 & 1.20 & 1.62 \\
1.00 & 2 & --2.8 & --0.31 & --0.04 & 0.41 & --0.27 & --0.61 & 0.37 & 0.42 & 1.32 & 1.74 & 1.37 & 1.78 \\
1.00 & 2 & --2.6 & --0.30 & --0.02 & 0.41 & --0.07 & --0.61 & 0.38 & 0.41 & 1.47 & 1.88 & 1.49 & 1.90 \\
1.00 & 2 & --2.4 & --0.30 & --0.00 & 0.41 & 0.08 & --0.59 & 0.40 & 0.40 & 1.58 & 1.99 & 1.58 & 1.99 \\
1.00 & 2 & --2.2 & --0.29 & 0.03 & 0.41 & 0.19 & --0.57 & 0.42 & 0.39 & 1.67 & 2.08 & 1.64 & 2.05 \\
1.00 & 2 & --2.0 & --0.28 & 0.06 & 0.42 & 0.24 & --0.55 & 0.46 & 0.39 & 1.73 & 2.15 & 1.67 & 2.09 \\
1.00 & 2 & --1.8 & --0.27 & 0.10 & 0.44 & 0.25 & --0.53 & 0.50 & 0.40 & 1.78 & 2.22 & 1.68 & 2.12 \\
1.00 & 2 & --1.6 & --0.25 & 0.14 & 0.48 & 0.24 & --0.49 & 0.54 & 0.40 & 1.80 & 2.28 & 1.66 & 2.14 \\
1.00 & 3 & --3.0 & --0.00 & 0.46 & 0.82 & --0.53 & --0.45 & 0.68 & 0.22 & 1.60 & 2.42 & 1.14 & 1.96 \\
1.00 & 3 & --2.8 & 0.00 & 0.47 & 0.81 & --0.28 & --0.44 & 0.68 & 0.21 & 1.73 & 2.54 & 1.26 & 2.07 \\
1.00 & 3 & --2.6 & 0.01 & 0.49 & 0.80 & --0.09 & --0.41 & 0.68 & 0.19 & 1.81 & 2.62 & 1.33 & 2.13 \\
1.00 & 3 & --2.4 & 0.03 & 0.51 & 0.80 & 0.06 & --0.38 & 0.69 & 0.19 & 1.86 & 2.67 & 1.36 & 2.16 \\
1.00 & 3 & --2.2 & 0.04 & 0.53 & 0.81 & 0.16 & --0.35 & 0.71 & 0.19 & 1.89 & 2.69 & 1.36 & 2.17 \\
